Source Audio,Part,DÃ©but (sec),DÃ©but (min:sec),Distance,Status,Exploration,Validation_Humaine,Comments,,TP,FP,FN,TN
ml17_280a_0158_part11.wav,11,55,0:55,0.2345,RAS,TRUE,FALSE,Bruit d'écoulement,,,,,
ml17_280a_0162_part32.wav,32,160,2:40,0.243,RAS,TRUE,FALSE,,,,,,
ml17_280a_0162_part59.wav,59,295,4:55,0.2547,RAS,FALSE,FALSE,Bruit d'écoulement,,,,,
ml17_280a_0163_part14.wav,14,70,1:10,0.235,RAS,TRUE,FALSE,Bruit parasite,,,,,
ml17_280a_0164_part19.wav,19,95,1:35,0.2376,RAS,TRUE,FALSE,Bruit parasite,,,,,
ml17_280a_0164_part3.wav,3,15,0:15,0.4872,ANOMALIE,TRUE,FALSE,Indeterminé,,,,,
ml17_280a_0166_part14.wav,14,70,1:10,0.1941,RAS,TRUE,FALSE,Bruit parasite,,,,,
ml17_280a_0166_part2.wav,2,10,0:10,0.2804,RAS,TRUE,FALSE,Bruit parasite,,,,,
ml17_280a_0167_part0.wav,0,0,0:00,0.2929,RAS,TRUE,FALSE,Bruit parasite,,,,,
ml17_280a_0167_part39.wav,39,195,3:15,0.2297,RAS,FALSE,FALSE,,,,,,
ml17_280a_0167_part53.wav,53,265,4:25,0.2003,RAS,FALSE,FALSE,,,,,,
ml17_280a_0169_part9.wav,9,45,0:45,0.3984,ANOMALIE,FALSE,FALSE,Indeterminé,,,,,
ml17_280a_0170_part7.wav,7,35,0:35,0.4338,ANOMALIE,TRUE,FALSE,Indeterminé,,,,,
ml17_280a_0173_part24.wav,24,120,2:00,0.2804,RAS,TRUE,FALSE,Indeterminé ,,,,,
ml17_280a_0175_part0.wav,0,0,0:00,0.4303,ANOMALIE,TRUE,FALSE,Indeterminé,,,,,
