Source Audio,Part,Début (min:sec),Distance_Noise,Distance_Anomaly,Status,Validation_Humaine
ml17_280a_0021_part40.wav,40,3:20,0.0221,0.2441,✅ NORMAL,
ml17_280a_0144_part60.wav,60,5:00,0.0211,0.2208,✅ NORMAL,
ml17_280a_0029_part60.wav,60,5:00,0,0.2079,✅ NORMAL,
ml17_280a_0014_part48.wav,48,4:00,0.0168,0.3096,✅ NORMAL,
ml17_280a_0109_part7.wav,7,0:35,0.0388,0.2505,✅ NORMAL,
ml17_280a_0110_part61.wav,61,5:05,0.0253,0.2311,✅ NORMAL,
ml17_280a_0103_part42.wav,42,3:30,0.0118,0.1906,✅ NORMAL,
ml17_280a_0162_part32.wav,32,2:40,0.0355,0.2688,✅ NORMAL,
ml17_280a_0144_part32.wav,32,2:40,0.0467,0.343,✅ NORMAL,
ml17_280a_0137_part33.wav,33,2:45,0.0093,0.2555,✅ NORMAL,
ml17_280a_0167_part53.wav,53,4:25,0.0166,0.2292,✅ NORMAL,
ml17_280a_0041_part29.wav,29,2:25,0.0272,0.3719,✅ NORMAL,
ml17_280a_0054_part42.wav,42,3:30,0.0069,0.2351,✅ NORMAL,
ml17_280a_0164_part19.wav,19,1:35,0.0275,0.277,✅ NORMAL,
ml17_280a_0073_part43.wav,43,3:35,0.0274,0.2851,✅ NORMAL,
ml17_280a_0093_part7.wav,7,0:35,0.0089,0.1715,✅ NORMAL,
ml17_280a_0069_part33.wav,33,2:45,0.0182,0.2338,✅ NORMAL,
ml17_280a_0011_part5.wav,5,0:25,0.0416,0.3286,✅ NORMAL,
ml17_280a_0019_part17.wav,17,1:25,0.0345,0.2981,✅ NORMAL,
ml17_280a_0153_part2.wav,2,0:10,0.0364,0.307,✅ NORMAL,
ml17_280a_0119_part54.wav,54,4:30,0.0117,0.2269,✅ NORMAL,
ml17_280a_0058_part44.wav,44,3:40,0.0095,0.2193,✅ NORMAL,
