Source Audio,Part,Début (min:sec),Distance_Noise,Distance_Anomaly,Status,Detection_Reason,Human_validation,Comment
ml17_280a_0095_part53.wav,53,4:25,0.1447,0.5674,⚠️ ANOMALIE,Très éloigné du bruit de référence,Anomaly,
ml17_280a_0163_part37.wav,37,3:05,0.1444,0.5261,⚠️ ANOMALIE,Très éloigné du bruit de référence,Anomaly,
ml17_280a_0081_part52.wav,52,4:20,0.1443,0.5006,⚠️ ANOMALIE,Très éloigné du bruit de référence,Anomaly,
ml17_280a_0083_part27.wav,27,2:15,0.144,0.5896,⚠️ ANOMALIE,Très éloigné du bruit de référence,Anomaly,
ml17_280a_0137_part15.wav,15,1:15,0.1437,0.6182,⚠️ ANOMALIE,Très éloigné du bruit de référence,Anomaly,
ml17_280a_0099_part37.wav,37,3:05,0.1435,0.5766,⚠️ ANOMALIE,Très éloigné du bruit de référence,Anomaly,
ml17_280a_0058_part38.wav,38,3:10,0.1432,0.6257,⚠️ ANOMALIE,Très éloigné du bruit de référence,Anomaly,
ml17_280a_0095_part28.wav,28,2:20,0.1427,0.5497,⚠️ ANOMALIE,Très éloigné du bruit de référence,Anomaly,
ml17_280a_0099_part12.wav,12,1:00,0.1426,0.6253,⚠️ ANOMALIE,Très éloigné du bruit de référence,Anomaly,
ml17_280a_0083_part8.wav,8,0:40,0.1424,0.5607,⚠️ ANOMALIE,Très éloigné du bruit de référence,Anomaly,
ml17_280a_0082_part38.wav,38,3:10,0.142,0.5601,⚠️ ANOMALIE,Très éloigné du bruit de référence,Anomaly,
ml17_280a_0084_part15.wav,15,1:15,0.1419,0.5346,⚠️ ANOMALIE,Très éloigné du bruit de référence,Anomaly,
ml17_280a_0081_part64.wav,64,5:20,0.1417,0.556,⚠️ ANOMALIE,Très éloigné du bruit de référence,Anomaly,
ml17_280a_0082_part51.wav,51,4:15,0.1416,0.5654,⚠️ ANOMALIE,Très éloigné du bruit de référence,Anomaly,
ml17_280a_0085_part8.wav,8,0:40,0.1416,0.5903,⚠️ ANOMALIE,Très éloigné du bruit de référence,Anomaly,
ml17_280a_0081_part24.wav,24,2:00,0.1416,0.5714,⚠️ ANOMALIE,Très éloigné du bruit de référence,Anomaly,
ml17_280a_0082_part25.wav,25,2:05,0.1412,0.5316,⚠️ ANOMALIE,Très éloigné du bruit de référence,Anomaly,
ml17_280a_0139_part4.wav,4,0:20,0.1412,0.5344,⚠️ ANOMALIE,Très éloigné du bruit de référence,Anomaly,
ml17_280a_0082_part15.wav,15,1:15,0.1411,0.5918,⚠️ ANOMALIE,Très éloigné du bruit de référence,Anomaly,
ml17_280a_0137_part4.wav,4,0:20,0.141,0.5796,⚠️ ANOMALIE,Forte distance KNN aux voisins bruit,Anomaly,
ml17_280a_0096_part38.wav,38,3:10,0.1409,0.5586,⚠️ ANOMALIE,Forte distance KNN aux voisins bruit,Anomaly,
ml17_280a_0099_part32.wav,32,2:40,0.1409,0.5676,⚠️ ANOMALIE,Forte distance KNN aux voisins bruit,Anomaly,
ml17_280a_0082_part55.wav,55,4:35,0.1408,0.511,⚠️ ANOMALIE,Forte distance KNN aux voisins bruit,Anomaly,
ml17_280a_0099_part23.wav,23,1:55,0.1407,0.5292,⚠️ ANOMALIE,Forte distance KNN aux voisins bruit,Anomaly,
ml17_280a_0099_part30.wav,30,2:30,0.1407,0.5821,⚠️ ANOMALIE,Forte distance KNN aux voisins bruit,Anomaly,
ml17_280a_0041_part28.wav,28,2:20,0.1404,0.6085,⚠️ ANOMALIE,Forte distance KNN aux voisins bruit,Anomaly,
ml17_280a_0039_part41.wav,41,3:25,0.1402,0.5637,⚠️ ANOMALIE,Forte distance KNN aux voisins bruit,Anomaly,
