recording_id,n_clips,lof_auroc,lof_ap,lof_f1_oracle,lof_f1_p90,gaussian_auroc,gaussian_ap,gaussian_f1_oracle,gaussian_f1_p90
ml17_280a_0137,59,0.8047058823529412,0.714502643702646,0.8000000000000002,0.25806451612903225,0.7552941176470589,0.7210642464404089,0.7017543859649122,0.3225806451612903
ml17_280a_0138,5,0.75,0.5,0.6666666666666666,0.0,0.75,0.5,0.6666666666666666,0.0
ml17_280a_0139,39,0.6616161616161617,0.39850288600288597,0.4705882352941177,0.2,0.8181818181818181,0.5305555555555556,0.5714285714285715,0.4
ml17_280a_0140,124,0.6853448275862069,0.10678274428274429,0.21875,0.0,0.6368534482758621,0.09791912727982899,0.21428571428571427,0.09523809523809523
ml17_280a_0141,127,0.8118279569892474,0.3773448773448773,0.5,0.125,0.782258064516129,0.40727272727272723,0.5,0.25
ml17_280a_0142,78,0.9959758551307847,0.9617346938775508,0.9333333333333333,0.9333333333333333,1.0,0.9999999999999998,1.0,0.9333333333333333
ml17_280a_0143,67,0.8903225806451612,0.5121052631578947,0.6,0.5,0.8774193548387097,0.5563636363636364,0.6,0.5
ml17_280a_0144,134,0.9075520833333334,0.25707070707070706,0.37499999999999994,0.3,0.7356770833333334,0.09971762512597358,0.22222222222222224,0.1
ml17_280a_0145,155,0.756551724137931,0.1813597836684797,0.3157894736842105,0.23076923076923078,0.7,0.17682577505632488,0.380952380952381,0.3076923076923077
ml17_280a_0146,168,0.9512658227848101,0.420995855995856,0.5833333333333334,0.5185185185185185,0.8727848101265823,0.41141481128766755,0.5833333333333334,0.5185185185185185
ml17_280a_0147,6,,,,,,,,
ml17_280a_0149,18,,,,,,,,
ml17_280a_0150,11,,,,,,,,
ml17_280a_0151,7,0.33333333333333337,0.2,0.33333333333333337,0.0,0.33333333333333337,0.2,0.33333333333333337,0.0
ml17_280a_0152,62,0.8032786885245902,0.07692307692307693,0.14285714285714288,0.0,0.5901639344262295,0.038461538461538464,0.07407407407407407,0.0
ml17_280a_0153,58,0.969811320754717,0.7116666666666667,0.7692307692307693,0.7272727272727273,0.9132075471698113,0.45358395989974937,0.6666666666666666,0.5454545454545454
ml17_280a_0154,101,0.9948453608247423,0.8875,0.888888888888889,0.5333333333333333,0.9768041237113403,0.5416666666666666,0.6666666666666666,0.5333333333333333
ml17_280a_0155,10,,,,,,,,
ml17_280a_0156,10,,,,,,,,
ml17_280a_0157,21,,,,,,,,
ml17_280a_0158,16,,,,,,,,
ml17_280a_0159,15,,,,,,,,
ml17_280a_0160,10,,,,,,,,
ml17_280a_0161,7,0.14999999999999997,0.24285714285714285,0.4444444444444445,0.0,1.0,1.0,1.0,0.6666666666666666
ml17_280a_0162,94,0.9487179487179487,0.3611111111111111,0.4444444444444444,0.3076923076923077,0.8278388278388278,0.2369047619047619,0.4,0.15384615384615385
ml17_280a_0163,35,0.8181818181818181,0.5714285714285714,0.6666666666666666,0.3333333333333333,0.8181818181818181,0.5714285714285714,0.6666666666666666,0.3333333333333333
ml17_280a_0164,61,0.9942528735632183,0.9166666666666665,0.8571428571428571,0.6,1.0,1.0,1.0,0.6
ml17_280a_0165,45,1.0,1.0,1.0,0.5714285714285714,1.0,1.0,1.0,0.5714285714285714
ml17_280a_0166,121,0.9916666666666667,0.5,0.6666666666666666,0.14285714285714285,0.8916666666666666,0.07142857142857142,0.13333333333333333,0.0
ml17_280a_0167,154,0.5477272727272728,0.30488505698429536,0.4756756756756757,0.13333333333333333,0.6446280991735537,0.3692011178644919,0.5319148936170213,0.13333333333333333
ml17_280a_0168,8,,1.0,1.0,0.2222222222222222,,1.0,1.0,0.2222222222222222
ml17_280a_0169,9,0.625,0.9543650793650793,0.9411764705882353,0.2222222222222222,0.625,0.9526289682539683,0.9411764705882353,0.2222222222222222
ml17_280a_0171,5,,1.0,1.0,0.3333333333333333,,1.0,1.0,0.3333333333333333
ml17_280a_0174,12,,,,,,,,
ml17_280a_0175,10,,,,,,,,
ml17_280a_0176,13,,,,,,,,
