Source Audio,Part,Début (sec),Début (min:sec),Distance,Status,Listening, ,
ml18_294b_0076_part79.wav,79,395,6:35,0.1203,RAS,,,ml18_294b_00760079
ml18_294b_0076_part80.wav,80,400,6:40,0.1536,RAS,,,ml18_294b_00760080
ml18_294b_0076_part81.wav,81,405,6:45,0.1501,RAS,,,ml18_294b_00760081
ml18_294b_0076_part82.wav,82,410,6:50,0.13,RAS,,,ml18_294b_00760082
ml18_294b_0076_part83.wav,83,415,6:55,0.1552,RAS,,,ml18_294b_00760083
ml18_294b_0076_part84.wav,84,420,7:00,0.3142,ANOMALIE,,,ml18_294b_00760084
ml18_294b_0076_part85.wav,85,425,7:05,0.1331,RAS,,,ml18_294b_00760085
ml18_296a_0007_part0.wav,0,0,0:00,0.1038,RAS,,,ml18_296a_00070000
ml18_296a_0007_part1.wav,1,5,0:05,0.1655,RAS,,,ml18_296a_00070001
ml18_296a_0007_part2.wav,2,10,0:10,0.2181,RAS,,,ml18_296a_00070002
ml18_296a_0007_part3.wav,3,15,0:15,0.162,RAS,,,ml18_296a_00070003
ml18_296a_0007_part4.wav,4,20,0:20,0.1945,RAS,,,ml18_296a_00070004
ml18_296a_0007_part5.wav,5,25,0:25,0.3745,ANOMALIE,,,ml18_296a_00070005
ml18_296a_0007_part6.wav,6,30,0:30,0.1536,RAS,,,ml18_296a_00070006
ml18_296a_0007_part7.wav,7,35,0:35,0.1726,RAS,,,ml18_296a_00070007
ml18_296a_0007_part8.wav,8,40,0:40,0.1164,RAS,,,ml18_296a_00070008
ml18_296a_0007_part9.wav,9,45,0:45,0.141,RAS,,,ml18_296a_00070009
ml18_296a_0007_part10.wav,10,50,0:50,0.1683,RAS,,,ml18_296a_00070010
ml18_296a_0007_part11.wav,11,55,0:55,0.2095,RAS,,,ml18_296a_00070011
ml18_296a_0007_part12.wav,12,60,1:00,0.1211,RAS,,,ml18_296a_00070012
ml18_296a_0007_part13.wav,13,65,1:05,0.1304,RAS,,,ml18_296a_00070013
ml18_296a_0007_part14.wav,14,70,1:10,0.1799,RAS,,,ml18_296a_00070014
ml18_296a_0007_part15.wav,15,75,1:15,0.1474,RAS,,,ml18_296a_00070015
ml18_296a_0007_part16.wav,16,80,1:20,0.1479,RAS,,,ml18_296a_00070016
