Source Audio,Part,Début (sec),Début (min:sec),Distance,Status,Validation_Humaine,Commentaire
ml19_292a_0030_part61.wav,61,305,5:05,0.4578,ANOMALIE,ANOMALIE,
ml19_293a_0066_part59.wav,59,295,4:55,0.4422,ANOMALIE,ANOMALIE,
ml17_280a_0083_part16.wav,16,80,1:20,0.4397,ANOMALIE,ANOMALIE,
ml17_280a_0083_part74.wav,74,370,6:10,0.4348,ANOMALIE,ANOMALIE,
ml19_292a_0030_part73.wav,73,365,6:05,0.4314,ANOMALIE,ANOMALIE,
ml17_280a_0083_part19.wav,19,95,1:35,0.4289,ANOMALIE,ANOMALIE,
ml17_280a_0083_part76.wav,76,380,6:20,0.4286,ANOMALIE,ANOMALIE,
ml17_280a_0083_part12.wav,12,60,1:00,0.4244,ANOMALIE,ANOMALIE,
ml17_280a_0144_part96.wav,96,480,8:00,0.4117,ANOMALIE,ANOMALIE,
ml19_292b_0026_part90.wav,90,450,7:30,0.4085,ANOMALIE,ANOMALIE,
ml17_280a_0083_part80.wav,80,400,6:40,0.4058,ANOMALIE,ANOMALIE,
ml17_280a_0144_part52.wav,52,260,4:20,0.4029,ANOMALIE,ANOMALIE,
ml17_280a_0083_part70.wav,70,350,5:50,0.4009,ANOMALIE,ANOMALIE,
ml17_280a_0144_part105.wav,105,525,8:45,0.3991,ANOMALIE,ANOMALIE,
ml19_293a_0066_part60.wav,60,300,5:00,0.3988,ANOMALIE,ANOMALIE,
ml17_280a_0144_part50.wav,50,250,4:10,0.3988,ANOMALIE,ANOMALIE,
ml17_280a_0083_part22.wav,22,110,1:50,0.397,ANOMALIE,ANOMALIE,
ml17_280a_0083_part18.wav,18,90,1:30,0.3938,ANOMALIE,ANOMALIE,
ml19_292b_0026_part58.wav,58,290,4:50,0.3906,ANOMALIE,ANOMALIE,
ml17_280a_0083_part49.wav,49,245,4:05,0.3838,ANOMALIE,ANOMALIE,
ml17_280a_0083_part78.wav,78,390,6:30,0.3738,ANOMALIE,ANOMALIE,
ml18_296a_0007_part5.wav,5,25,0:25,0.3737,ANOMALIE,DOUTE,
ml17_280a_0083_part35.wav,35,175,2:55,0.37,ANOMALIE,ANOMALIE,
ml17_280a_0144_part157.wav,157,785,13:05,0.3675,ANOMALIE,ANOMALIE,
ml19_292b_0026_part139.wav,139,695,11:35,0.3672,ANOMALIE,DOUTE,
ml17_280a_0144_part152.wav,152,760,12:40,0.3667,ANOMALIE,ANOMALIE,
ml17_280a_0083_part40.wav,40,200,3:20,0.3615,ANOMALIE,ANOMALIE,
ml17_280a_0144_part155.wav,155,775,12:55,0.3586,ANOMALIE,ANOMALIE,
ml17_280a_0083_part69.wav,69,345,5:45,0.3585,ANOMALIE,ANOMALIE,
ml17_280a_0144_part142.wav,142,710,11:50,0.3553,ANOMALIE,ANOMALIE,
ml18_294b_0013_part84.wav,84,420,7:00,0.3538,ANOMALIE,ANOMALIE,
ml19_292b_0026_part64.wav,64,320,5:20,0.3496,ANOMALIE,ANOMALIE,
ml19_292b_0026_part46.wav,46,230,3:50,0.3454,ANOMALIE,ANOMALIE,
ml17_280a_0144_part15.wav,15,75,1:15,0.3395,ANOMALIE,ANOMALIE,
ml17_280a_0083_part82.wav,82,410,6:50,0.3379,ANOMALIE,ANOMALIE,
ml17_280a_0144_part48.wav,48,240,4:00,0.3367,ANOMALIE,ANOMALIE,
ml19_293a_0015_part34.wav,34,170,2:50,0.3362,ANOMALIE,DOUTE,
ml17_280a_0144_part150.wav,150,750,12:30,0.3305,ANOMALIE,ANOMALIE,
ml19_292b_0026_part138.wav,138,690,11:30,0.3301,ANOMALIE,DOUTE,
ml19_292b_0026_part119.wav,119,595,9:55,0.3298,ANOMALIE,ANOMALIE,
ml19_292a_0030_part68.wav,68,340,5:40,0.3297,ANOMALIE,RAS,
ml17_280a_0083_part55.wav,55,275,4:35,0.325,ANOMALIE,ANOMALIE,
ml17_280a_0144_part160.wav,160,800,13:20,0.321,ANOMALIE,ANOMALIE,
ml17_280a_0144_part135.wav,135,675,11:15,0.3162,ANOMALIE,ANOMALIE,
ml19_292b_0026_part126.wav,126,630,10:30,0.315,ANOMALIE,RAS,
ml19_292b_0026_part103.wav,103,515,8:35,0.3137,ANOMALIE,RAS,
ml18_294b_0076_part84.wav,84,420,7:00,0.313,ANOMALIE,DOUTE,
ml19_292b_0026_part127.wav,127,635,10:35,0.3124,ANOMALIE,RAS,
ml19_292b_0026_part91.wav,91,455,7:35,0.3122,ANOMALIE,RAS,
ml19_292b_0026_part89.wav,89,445,7:25,0.312,ANOMALIE,ANOMALIE,
ml19_292a_0030_part46.wav,46,230,3:50,0.3087,ANOMALIE,RAS,
ml17_280a_0083_part52.wav,52,260,4:20,0.3059,ANOMALIE,ANOMALIE,
ml19_292b_0026_part75.wav,75,375,6:15,0.3059,ANOMALIE,RAS,
ml17_280a_0144_part8.wav,8,40,0:40,0.3043,ANOMALIE,ANOMALIE,
ml19_292b_0026_part129.wav,129,645,10:45,0.304,ANOMALIE,RAS,
ml19_292a_0007_part36.wav,36,180,3:00,0.3011,ANOMALIE,RAS,
ml19_292b_0026_part140.wav,140,700,11:40,0.3006,ANOMALIE,RAS,
ml19_292b_0026_part113.wav,113,565,9:25,0.3003,ANOMALIE,RAS,
ml17_280a_0144_part102.wav,102,510,8:30,0.2987,ANOMALIE,DOUTE,
ml19_292b_0026_part56.wav,56,280,4:40,0.2971,ANOMALIE,RAS,
ml17_280a_0144_part17.wav,17,85,1:25,0.2963,ANOMALIE,ANOMALIE,
ml19_292b_0026_part59.wav,59,295,4:55,0.2942,ANOMALIE,ANOMALIE,
ml17_280a_0144_part27.wav,27,135,2:15,0.2938,ANOMALIE,RAS,
ml17_280a_0144_part116.wav,116,580,9:40,0.2914,ANOMALIE,ANOMALIE,
ml19_292b_0026_part130.wav,130,650,10:50,0.2912,ANOMALIE,RAS,
ml19_292b_0026_part141.wav,141,705,11:45,0.2868,ANOMALIE,RAS,
ml19_292a_0007_part39.wav,39,195,3:15,0.2844,ANOMALIE,RAS,
ml19_292b_0026_part132.wav,132,660,11:00,0.2839,ANOMALIE,RAS,
ml19_292b_0026_part50.wav,50,250,4:10,0.2805,ANOMALIE,RAS,
ml17_280a_0144_part11.wav,11,55,0:55,0.2794,ANOMALIE,RAS,
ml19_293a_0015_part127.wav,127,635,10:35,0.2794,ANOMALIE,RAS,
ml17_280a_0144_part94.wav,94,470,7:50,0.278,ANOMALIE,ANOMALIE,
ml17_280a_0144_part99.wav,99,495,8:15,0.278,ANOMALIE,ANOMALIE,
ml19_292a_0030_part75.wav,75,375,6:15,0.2773,ANOMALIE,DOUTE,
ml17_280a_0083_part1.wav,1,5,0:05,0.2763,ANOMALIE,RAS,
ml17_280a_0144_part144.wav,144,720,12:00,0.2749,ANOMALIE,RAS,
ml18_294b_0042_part8.wav,8,40,0:40,0.271,ANOMALIE,ANOMALIE,
ml19_292a_0030_part78.wav,78,390,6:30,0.2703,ANOMALIE,RAS,
ml17_280a_0144_part97.wav,97,485,8:05,0.2672,ANOMALIE,ANOMALIE,
ml17_280a_0144_part82.wav,82,410,6:50,0.266,ANOMALIE,RAS,
ml19_292b_0026_part114.wav,114,570,9:30,0.2645,ANOMALIE,RAS,
ml17_280a_0083_part66.wav,66,330,5:30,0.264,ANOMALIE,RAS,
ml19_293a_0066_part7.wav,7,35,0:35,0.2633,ANOMALIE,ANOMALIE,
ml19_294a_0011_part36.wav,36,180,3:00,0.2628,ANOMALIE,DOUTE,
ml19_292a_0030_part82.wav,82,410,6:50,0.2625,ANOMALIE,RAS,
ml19_292b_0026_part121.wav,121,605,10:05,0.2624,ANOMALIE,RAS,
ml17_280a_0144_part100.wav,100,500,8:20,0.261,ANOMALIE,DOUTE,
ml19_292b_0026_part131.wav,131,655,10:55,0.2603,ANOMALIE,RAS,
ml19_293a_0066_part70.wav,70,350,5:50,0.2601,ANOMALIE,RAS,
ml19_292a_0030_part37.wav,37,185,3:05,0.26,ANOMALIE,RAS,
ml17_280a_0144_part1.wav,1,5,0:05,0.2593,ANOMALIE,RAS,
ml17_280a_0144_part69.wav,69,345,5:45,0.2591,ANOMALIE,DOUTE,
ml18_294b_0013_part51.wav,51,255,4:15,0.256,ANOMALIE,DOUTE,
ml19_292b_0026_part117.wav,117,585,9:45,0.2554,ANOMALIE,RAS,
ml19_292b_0026_part63.wav,63,315,5:15,0.2553,ANOMALIE,RAS,
ml19_292b_0026_part112.wav,112,560,9:20,0.2543,ANOMALIE,RAS,
ml17_280a_0144_part134.wav,134,670,11:10,0.2541,ANOMALIE,RAS,
ml17_280a_0144_part101.wav,101,505,8:25,0.2528,ANOMALIE,DOUTE,
ml19_293a_0066_part0.wav,0,0,0:00,0.2523,ANOMALIE,DOUTE,
ml17_280a_0083_part38.wav,38,190,3:10,0.2515,ANOMALIE,DOUTE,
ml19_292b_0026_part100.wav,100,500,8:20,0.2514,ANOMALIE,RAS,
ml19_292b_0026_part108.wav,108,540,9:00,0.2503,ANOMALIE,RAS,
ml19_292b_0026_part55.wav,55,275,4:35,0.2488,RAS,RAS,
ml17_280a_0144_part115.wav,115,575,9:35,0.2486,RAS,RAS,
ml17_280a_0144_part35.wav,35,175,2:55,0.2485,RAS,RAS,
ml19_293a_0066_part81.wav,81,405,6:45,0.2474,RAS,RAS,
ml17_280a_0144_part130.wav,130,650,10:50,0.2467,RAS,RAS,
ml17_280a_0144_part67.wav,67,335,5:35,0.2456,RAS,RAS,
ml18_294b_0013_part76.wav,76,380,6:20,0.2454,RAS,DOUTE,
ml19_292b_0026_part123.wav,123,615,10:15,0.2443,RAS,RAS,
ml19_294a_0011_part42.wav,42,210,3:30,0.2442,RAS,ANOMALIE,
ml17_280a_0144_part161.wav,161,805,13:25,0.2429,RAS,RAS,
ml17_280a_0144_part53.wav,53,265,4:25,0.2421,RAS,RAS,
ml18_294b_0013_part78.wav,78,390,6:30,0.2413,RAS,RAS,
ml18_294b_0013_part1.wav,1,5,0:05,0.2389,RAS,RAS,
ml19_293a_0015_part134.wav,134,670,11:10,0.2362,RAS,RAS,
ml17_280a_0083_part73.wav,73,365,6:05,0.2357,RAS,RAS,
ml17_280a_0144_part124.wav,124,620,10:20,0.2351,RAS,RAS,
ml18_294b_0013_part73.wav,73,365,6:05,0.235,RAS,DOUTE,
ml18_294b_0013_part40.wav,40,200,3:20,0.2344,RAS,DOUTE,
ml19_293a_0015_part31.wav,31,155,2:35,0.2341,RAS,RAS,
ml17_280a_0088_part83.wav,83,415,6:55,0.2339,RAS,RAS,
ml19_292b_0026_part42.wav,42,210,3:30,0.2335,RAS,RAS,
ml18_294b_0013_part91.wav,91,455,7:35,0.2335,RAS,DOUTE,
ml17_280a_0144_part153.wav,153,765,12:45,0.2331,RAS,RAS,
ml19_292b_0026_part137.wav,137,685,11:25,0.2329,RAS,RAS,
ml19_294a_0011_part37.wav,37,185,3:05,0.2327,RAS,DOUTE,
ml19_292b_0026_part65.wav,65,325,5:25,0.2324,RAS,RAS,
ml17_280a_0144_part88.wav,88,440,7:20,0.2315,RAS,RAS,
ml19_292b_0026_part107.wav,107,535,8:55,0.2309,RAS,RAS,
ml17_280a_0144_part137.wav,137,685,11:25,0.2305,RAS,ANOMALIE,
ml19_292b_0026_part133.wav,133,665,11:05,0.2304,RAS,RAS,
ml19_292a_0007_part21.wav,21,105,1:45,0.2302,RAS,RAS,
ml17_280a_0144_part98.wav,98,490,8:10,0.23,RAS,RAS,
ml19_292b_0026_part142.wav,142,710,11:50,0.23,RAS,RAS,
ml17_280a_0083_part57.wav,57,285,4:45,0.2286,RAS,RAS,
ml18_294b_0013_part5.wav,5,25,0:25,0.2285,RAS,RAS,
ml19_292a_0030_part63.wav,63,315,5:15,0.2284,RAS,RAS,
ml17_280a_0144_part44.wav,44,220,3:40,0.2283,RAS,ANOMALIE,
ml19_292b_0026_part134.wav,134,670,11:10,0.2282,RAS,RAS,
ml18_294b_0076_part1.wav,1,5,0:05,0.2277,RAS,DOUTE,
ml19_292b_0026_part30.wav,30,150,2:30,0.2271,RAS,RAS,
ml19_292a_0030_part72.wav,72,360,6:00,0.2269,RAS,RAS,
ml17_280a_0144_part32.wav,32,160,2:40,0.2269,RAS,RAS,
ml19_293a_0066_part47.wav,47,235,3:55,0.2261,RAS,DOUTE,
ml19_294a_0011_part43.wav,43,215,3:35,0.2256,RAS,RAS,
ml19_294a_0011_part30.wav,30,150,2:30,0.2254,RAS,DOUTE,
ml19_292b_0026_part128.wav,128,640,10:40,0.2237,RAS,RAS,
ml17_280a_0088_part72.wav,72,360,6:00,0.2223,RAS,RAS,
ml18_294b_0013_part28.wav,28,140,2:20,0.2217,RAS,RAS,
ml19_292b_0026_part144.wav,144,720,12:00,0.2211,RAS,RAS,
ml17_280a_0144_part119.wav,119,595,9:55,0.221,RAS,RAS,
ml18_294b_0013_part85.wav,85,425,7:05,0.2209,RAS,RAS,
ml17_280a_0088_part151.wav,151,755,12:35,0.2198,RAS,RAS,
ml18_296a_0007_part2.wav,2,10,0:10,0.2189,RAS,RAS,
ml18_294b_0042_part4.wav,4,20,0:20,0.2189,RAS,DOUTE,
ml19_294a_0011_part48.wav,48,240,4:00,0.2188,RAS,RAS,
ml19_293a_0015_part138.wav,138,690,11:30,0.2185,RAS,RAS,
ml18_294b_0076_part20.wav,20,100,1:40,0.2183,RAS,RAS,
ml19_292b_0026_part79.wav,79,395,6:35,0.2182,RAS,RAS,
ml17_280a_0144_part77.wav,77,385,6:25,0.218,RAS,RAS,
ml18_294b_0013_part44.wav,44,220,3:40,0.2177,RAS,RAS,
ml17_280a_0144_part148.wav,148,740,12:20,0.2172,RAS,RAS,
ml19_293a_0066_part16.wav,16,80,1:20,0.2172,RAS,RAS,
ml19_294a_0011_part41.wav,41,205,3:25,0.2168,RAS,RAS,
ml17_280a_0083_part64.wav,64,320,5:20,0.216,RAS,RAS,
ml18_294b_0013_part2.wav,2,10,0:10,0.2157,RAS,RAS,
ml19_292b_0026_part120.wav,120,600,10:00,0.2155,RAS,RAS,
ml19_292b_0026_part95.wav,95,475,7:55,0.215,RAS,RAS,
ml19_293a_0066_part84.wav,84,420,7:00,0.2149,RAS,RAS,
ml18_294b_0013_part54.wav,54,270,4:30,0.2148,RAS,DOUTE,
ml17_280a_0144_part90.wav,90,450,7:30,0.2146,RAS,DOUTE,
ml19_292b_0026_part135.wav,135,675,11:15,0.2141,RAS,RAS,
ml18_294b_0013_part77.wav,77,385,6:25,0.2139,RAS,RAS,
ml17_280a_0083_part63.wav,63,315,5:15,0.2134,RAS,RAS,
ml19_292b_0026_part87.wav,87,435,7:15,0.2129,RAS,RAS,
ml17_280a_0144_part123.wav,123,615,10:15,0.2121,RAS,RAS,
ml19_292b_0026_part102.wav,102,510,8:30,0.2115,RAS,RAS,
ml19_294a_0011_part24.wav,24,120,2:00,0.2115,RAS,RAS,
ml17_280a_0144_part132.wav,132,660,11:00,0.2115,RAS,RAS,
ml19_294a_0011_part33.wav,33,165,2:45,0.2114,RAS,DOUTE,
ml19_292a_0030_part76.wav,76,380,6:20,0.2112,RAS,RAS,
ml19_292b_0026_part62.wav,62,310,5:10,0.2108,RAS,RAS,
ml19_292b_0026_part9.wav,9,45,0:45,0.2107,RAS,RAS,
ml18_296a_0007_part11.wav,11,55,0:55,0.2105,RAS,RAS,
ml17_280a_0144_part6.wav,6,30,0:30,0.2105,RAS,RAS,
ml19_292b_0026_part67.wav,67,335,5:35,0.2104,RAS,RAS,
ml19_294a_0011_part31.wav,31,155,2:35,0.2099,RAS,DOUTE,animal ?
ml18_294b_0013_part0.wav,0,0,0:00,0.2099,RAS,DOUTE,wind?
ml19_293a_0066_part58.wav,58,290,4:50,0.2097,RAS,RAS,
ml19_292b_0026_part80.wav,80,400,6:40,0.2096,RAS,RAS,
ml19_294a_0011_part26.wav,26,130,2:10,0.2094,RAS,RAS,
ml17_280a_0144_part55.wav,55,275,4:35,0.209,RAS,RAS,
ml19_292b_0026_part136.wav,136,680,11:20,0.209,RAS,RAS,
ml17_280a_0144_part92.wav,92,460,7:40,0.2087,RAS,ANOMALIE,
ml17_280a_0144_part133.wav,133,665,11:05,0.2087,RAS,ANOMALIE,
ml19_293a_0066_part72.wav,72,360,6:00,0.2086,RAS,RAS,
ml19_293a_0066_part85.wav,85,425,7:05,0.2079,RAS,RAS,
ml17_280a_0144_part43.wav,43,215,3:35,0.2078,RAS,RAS,
ml19_292b_0026_part93.wav,93,465,7:45,0.2074,RAS,RAS,
ml19_292b_0026_part125.wav,125,625,10:25,0.2073,RAS,RAS,
ml19_292b_0026_part77.wav,77,385,6:25,0.2067,RAS,RAS,
ml19_293a_0015_part135.wav,135,675,11:15,0.2064,RAS,RAS,
ml19_293a_0015_part70.wav,70,350,5:50,0.2063,RAS,RAS,
ml18_294b_0013_part63.wav,63,315,5:15,0.2062,RAS,RAS,
ml19_292a_0007_part22.wav,22,110,1:50,0.2062,RAS,RAS,
ml19_292b_0026_part11.wav,11,55,0:55,0.206,RAS,RAS,
ml19_292a_0030_part52.wav,52,260,4:20,0.2057,RAS,RAS,
ml19_292b_0026_part98.wav,98,490,8:10,0.2054,RAS,RAS,
ml19_292b_0026_part66.wav,66,330,5:30,0.2045,RAS,RAS,
ml18_294b_0013_part4.wav,4,20,0:20,0.2042,RAS,DOUTE,wind
ml19_292b_0026_part18.wav,18,90,1:30,0.2042,RAS,RAS,
ml19_292b_0026_part52.wav,52,260,4:20,0.2041,RAS,RAS,
ml19_292a_0030_part4.wav,4,20,0:20,0.2039,RAS,RAS,
ml19_293a_0015_part33.wav,33,165,2:45,0.2038,RAS,RAS,
ml18_294b_0013_part32.wav,32,160,2:40,0.2036,RAS,RAS,
ml19_293a_0015_part67.wav,67,335,5:35,0.2036,RAS,RAS,
ml17_280a_0144_part151.wav,151,755,12:35,0.2034,RAS,RAS,
ml17_280a_0144_part86.wav,86,430,7:10,0.2033,RAS,RAS,
ml19_293a_0015_part132.wav,132,660,11:00,0.2033,RAS,RAS,
ml17_280a_0088_part158.wav,158,790,13:10,0.2026,RAS,RAS,
ml18_294b_0013_part75.wav,75,375,6:15,0.2022,RAS,DOUTE,wind
ml17_280a_0083_part67.wav,67,335,5:35,0.2022,RAS,RAS,
ml19_293a_0066_part25.wav,25,125,2:05,0.202,RAS,A_VALIDER,
ml19_292b_0026_part4.wav,4,20,0:20,0.2012,RAS,A_VALIDER,
ml19_292b_0026_part143.wav,143,715,11:55,0.2011,RAS,A_VALIDER,
ml19_292a_0030_part62.wav,62,310,5:10,0.201,RAS,A_VALIDER,
ml17_280a_0088_part33.wav,33,165,2:45,0.2003,RAS,A_VALIDER,
ml19_293a_0015_part128.wav,128,640,10:40,0.2002,RAS,A_VALIDER,
ml19_292b_0026_part116.wav,116,580,9:40,0.2002,RAS,A_VALIDER,
ml19_292b_0026_part73.wav,73,365,6:05,0.2002,RAS,A_VALIDER,
ml17_280a_0144_part103.wav,103,515,8:35,0.1998,RAS,A_VALIDER,
ml18_294b_0042_part36.wav,36,180,3:00,0.1996,RAS,A_VALIDER,
ml19_293a_0066_part38.wav,38,190,3:10,0.1995,RAS,A_VALIDER,
ml19_292a_0007_part2.wav,2,10,0:10,0.1993,RAS,A_VALIDER,
ml18_294b_0013_part3.wav,3,15,0:15,0.1992,RAS,A_VALIDER,
ml18_294b_0076_part17.wav,17,85,1:25,0.1989,RAS,A_VALIDER,
ml17_280a_0144_part110.wav,110,550,9:10,0.1987,RAS,A_VALIDER,
ml17_280a_0083_part68.wav,68,340,5:40,0.1984,RAS,A_VALIDER,
ml19_292b_0026_part74.wav,74,370,6:10,0.1983,RAS,A_VALIDER,
ml17_280a_0144_part80.wav,80,400,6:40,0.1981,RAS,A_VALIDER,
ml19_293a_0015_part123.wav,123,615,10:15,0.198,RAS,A_VALIDER,
ml19_292a_0007_part20.wav,20,100,1:40,0.1975,RAS,A_VALIDER,
ml19_292a_0007_part38.wav,38,190,3:10,0.1973,RAS,A_VALIDER,
ml17_280a_0144_part75.wav,75,375,6:15,0.1968,RAS,A_VALIDER,
ml18_294b_0013_part47.wav,47,235,3:55,0.1965,RAS,A_VALIDER,
ml19_294a_0011_part16.wav,16,80,1:20,0.1964,RAS,A_VALIDER,
ml17_280a_0144_part84.wav,84,420,7:00,0.1962,RAS,A_VALIDER,
ml19_293a_0066_part20.wav,20,100,1:40,0.196,RAS,A_VALIDER,
ml19_294a_0011_part40.wav,40,200,3:20,0.1959,RAS,A_VALIDER,
ml19_292b_0026_part37.wav,37,185,3:05,0.1957,RAS,A_VALIDER,
ml18_296a_0007_part4.wav,4,20,0:20,0.1956,RAS,A_VALIDER,
ml19_294a_0011_part51.wav,51,255,4:15,0.1955,RAS,A_VALIDER,
ml19_292b_0026_part124.wav,124,620,10:20,0.1954,RAS,A_VALIDER,
ml19_292b_0026_part69.wav,69,345,5:45,0.1952,RAS,A_VALIDER,
ml19_293a_0015_part48.wav,48,240,4:00,0.1946,RAS,A_VALIDER,
ml17_280a_0083_part65.wav,65,325,5:25,0.1942,RAS,A_VALIDER,
ml19_292a_0007_part7.wav,7,35,0:35,0.194,RAS,A_VALIDER,
ml19_292b_0026_part12.wav,12,60,1:00,0.1939,RAS,A_VALIDER,
ml19_292b_0026_part68.wav,68,340,5:40,0.1935,RAS,A_VALIDER,
ml19_294a_0011_part2.wav,2,10,0:10,0.1934,RAS,A_VALIDER,
ml18_294b_0013_part92.wav,92,460,7:40,0.1934,RAS,A_VALIDER,
ml18_294b_0076_part53.wav,53,265,4:25,0.193,RAS,A_VALIDER,
ml18_294b_0013_part43.wav,43,215,3:35,0.1927,RAS,A_VALIDER,
ml19_294a_0011_part10.wav,10,50,0:50,0.1923,RAS,A_VALIDER,
ml19_292a_0007_part34.wav,34,170,2:50,0.1923,RAS,A_VALIDER,
ml18_294b_0013_part38.wav,38,190,3:10,0.1921,RAS,A_VALIDER,
ml19_292b_0026_part111.wav,111,555,9:15,0.192,RAS,A_VALIDER,
ml19_292b_0026_part13.wav,13,65,1:05,0.1919,RAS,A_VALIDER,
ml18_294b_0076_part23.wav,23,115,1:55,0.1918,RAS,A_VALIDER,
ml18_294b_0013_part81.wav,81,405,6:45,0.1917,RAS,A_VALIDER,
ml19_293a_0066_part32.wav,32,160,2:40,0.1913,RAS,A_VALIDER,
ml19_292b_0026_part70.wav,70,350,5:50,0.1912,RAS,A_VALIDER,
ml18_296a_0007_part22.wav,22,110,1:50,0.1909,RAS,A_VALIDER,
ml19_294a_0011_part56.wav,56,280,4:40,0.1906,RAS,A_VALIDER,
ml17_280a_0144_part145.wav,145,725,12:05,0.1905,RAS,A_VALIDER,
ml19_293a_0066_part43.wav,43,215,3:35,0.1903,RAS,A_VALIDER,
ml19_292a_0007_part30.wav,30,150,2:30,0.1902,RAS,A_VALIDER,
ml18_294b_0013_part82.wav,82,410,6:50,0.1901,RAS,A_VALIDER,
ml17_280a_0144_part106.wav,106,530,8:50,0.1898,RAS,A_VALIDER,
ml19_294a_0011_part12.wav,12,60,1:00,0.1898,RAS,A_VALIDER,
ml18_294b_0076_part69.wav,69,345,5:45,0.1897,RAS,A_VALIDER,
ml19_292a_0007_part1.wav,1,5,0:05,0.189,RAS,A_VALIDER,
ml19_294a_0011_part27.wav,27,135,2:15,0.1886,RAS,A_VALIDER,
ml19_292a_0030_part69.wav,69,345,5:45,0.1885,RAS,A_VALIDER,
ml19_292b_0026_part41.wav,41,205,3:25,0.1884,RAS,A_VALIDER,
ml19_292b_0026_part118.wav,118,590,9:50,0.188,RAS,A_VALIDER,
ml19_293a_0066_part17.wav,17,85,1:25,0.1878,RAS,A_VALIDER,
ml17_280a_0088_part165.wav,165,825,13:45,0.1876,RAS,A_VALIDER,
ml17_280a_0088_part128.wav,128,640,10:40,0.1876,RAS,A_VALIDER,
ml19_294a_0011_part8.wav,8,40,0:40,0.1875,RAS,A_VALIDER,
ml17_280a_0088_part142.wav,142,710,11:50,0.1874,RAS,A_VALIDER,
ml17_280a_0144_part114.wav,114,570,9:30,0.1872,RAS,A_VALIDER,
