Source Audio,Part,Start(sec),Start (min:sec),Distance,Status,Human_validation,Comment
ml17_280a_0081_part25.wav,25,125,2:05,0.5472,Anomaly,To_validate,
ml17_280a_0085_part11.wav,11,55,0:55,0.5471,Anomaly,To_validate,
ml17_280a_0083_part14.wav,14,70,1:10,0.5459,Anomaly,To_validate,
ml17_280a_0168_part11.wav,11,55,0:55,0.5455,Anomaly,To_validate,
ml17_280a_0081_part4.wav,4,20,0:20,0.5452,Anomaly,To_validate,
ml17_280a_0097_part27.wav,27,135,2:15,0.5446,Anomaly,To_validate,
ml17_280a_0082_part6.wav,6,30,0:30,0.5446,Anomaly,To_validate,
ml17_280a_0096_part40.wav,40,200,3:20,0.5445,Anomaly,To_validate,
ml17_280a_0154_part24.wav,24,120,2:00,0.5443,Anomaly,To_validate,
ml17_280a_0085_part65.wav,65,325,5:25,0.544,Anomaly,To_validate,
ml17_280a_0081_part14.wav,14,70,1:10,0.5435,Anomaly,To_validate,
ml17_280a_0083_part8.wav,8,40,0:40,0.5431,Anomaly,To_validate,
ml17_280a_0083_part23.wav,23,115,1:55,0.5426,Anomaly,To_validate,
ml17_280a_0081_part42.wav,42,210,3:30,0.542,Anomaly,To_validate,
ml17_280a_0084_part17.wav,17,85,1:25,0.5417,Anomaly,To_validate,
ml17_280a_0137_part2.wav,2,10,0:10,0.5417,Anomaly,To_validate,
ml17_280a_0083_part10.wav,10,50,0:50,0.5413,Anomaly,To_validate,
ml17_280a_0099_part20.wav,20,100,1:40,0.5408,Anomaly,To_validate,
ml17_280a_0162_part36.wav,36,180,3:00,0.5397,Anomaly,To_validate,
ml17_280a_0082_part36.wav,36,180,3:00,0.5366,Anomaly,To_validate,
ml17_280a_0086_part62.wav,62,310,5:10,0.5363,Anomaly,Anomaly,
ml17_280a_0083_part34.wav,34,170,2:50,0.5342,Anomaly,Anomaly,
ml17_280a_0099_part27.wav,27,135,2:15,0.5342,Anomaly,Anomaly,
ml17_280a_0095_part28.wav,28,140,2:20,0.5339,Anomaly,Anomaly,
ml17_280a_0099_part48.wav,48,240,4:00,0.5335,Anomaly,Anomaly,
ml17_280a_0096_part17.wav,17,85,1:25,0.5333,Anomaly,Anomaly,
ml17_280a_0082_part25.wav,25,125,2:05,0.5332,Anomaly,Anomaly,
ml17_280a_0082_part29.wav,29,145,2:25,0.533,Anomaly,Anomaly,
ml17_280a_0082_part8.wav,8,40,0:40,0.5328,Anomaly,Anomaly,
ml17_280a_0081_part26.wav,26,130,2:10,0.5328,Anomaly,Anomaly,
ml17_280a_0095_part30.wav,30,150,2:30,0.5313,Anomaly,Anomaly,
ml17_280a_0019_part18.wav,18,90,1:30,0.5304,Anomaly,Anomaly,
ml17_280a_0097_part20.wav,20,100,1:40,0.5287,Anomaly,Anomaly,
ml17_280a_0141_part10.wav,10,50,0:50,0.5286,Anomaly,Anomaly,
ml17_280a_0098_part24.wav,24,120,2:00,0.5285,Anomaly,Anomaly,
