Source Audio,Part,Début (min:sec),Distance_Noise,Distance_Anomaly,Status,Detection_Reason,Validation_Humaine
ml19_292b_0026_part103.wav,103,8:35,0.3137,0.3233,RAS,,A_VALIDER
ml18_294b_0076_part84.wav,84,7:00,0.313,0.3345,RAS,,A_VALIDER
ml19_292b_0026_part127.wav,127,10:35,0.3124,0.3182,RAS,,A_VALIDER
ml19_292b_0026_part91.wav,91,7:35,0.3122,0.3196,RAS,,A_VALIDER
ml19_292b_0026_part89.wav,89,7:25,0.312,0.303,RAS,,A_VALIDER
ml19_292a_0030_part46.wav,46,3:50,0.3087,0.3269,RAS,,A_VALIDER
ml17_280a_0083_part52.wav,52,4:20,0.3059,0.2834,RAS,,A_VALIDER
ml19_292b_0026_part75.wav,75,6:15,0.3059,0.3112,RAS,,A_VALIDER
ml17_280a_0144_part8.wav,8,0:40,0.3043,0.2934,RAS,,A_VALIDER
ml19_292b_0026_part129.wav,129,10:45,0.304,0.3095,RAS,,A_VALIDER
ml19_292a_0007_part36.wav,36,3:00,0.3011,0.3268,RAS,,A_VALIDER
ml19_292b_0026_part140.wav,140,11:40,0.3006,0.3111,RAS,,A_VALIDER
ml19_292b_0026_part113.wav,113,9:25,0.3003,0.3091,RAS,,A_VALIDER
ml17_280a_0144_part102.wav,102,8:30,0.2987,0.2925,RAS,,A_VALIDER
ml19_292b_0026_part56.wav,56,4:40,0.2971,0.3124,RAS,,A_VALIDER
ml17_280a_0144_part17.wav,17,1:25,0.2963,0.2802,RAS,,A_VALIDER
ml19_292b_0026_part59.wav,59,4:55,0.2942,0.285,RAS,,A_VALIDER
ml17_280a_0144_part27.wav,27,2:15,0.2938,0.3149,RAS,,A_VALIDER
ml17_280a_0144_part116.wav,116,9:40,0.2914,0.2919,RAS,,A_VALIDER
ml19_292b_0026_part130.wav,130,10:50,0.2912,0.3,RAS,,A_VALIDER
ml19_292b_0026_part141.wav,141,11:45,0.2868,0.2878,RAS,,A_VALIDER
ml19_292a_0007_part39.wav,39,3:15,0.2844,0.3116,RAS,,A_VALIDER
ml19_292b_0026_part132.wav,132,11:00,0.2839,0.2872,RAS,,A_VALIDER
ml19_292b_0026_part50.wav,50,4:10,0.2805,0.2958,RAS,,A_VALIDER
ml17_280a_0144_part11.wav,11,0:55,0.2794,0.2805,RAS,,A_VALIDER
ml19_293a_0015_part127.wav,127,10:35,0.2794,0.2827,RAS,,A_VALIDER
ml17_280a_0144_part94.wav,94,7:50,0.278,0.2573,RAS,,A_VALIDER
ml17_280a_0144_part99.wav,99,8:15,0.278,0.2678,RAS,,A_VALIDER
