Source Audio,Part,Début (sec),Début (min:sec),Distance,Status
ml17_280a_0144_part97.wav,97,485,8:05,0.2676,ANOMALIE
ml17_280a_0144_part82.wav,82,410,6:50,0.266,ANOMALIE
ml19_292b_0026_part114.wav,114,570,9:30,0.2642,ANOMALIE
ml17_280a_0083_part66.wav,66,330,5:30,0.2642,ANOMALIE
ml19_293a_0066_part7.wav,7,35,0:35,0.2636,ANOMALIE
ml19_292a_0030_part82.wav,82,410,6:50,0.2627,ANOMALIE
ml19_294a_0011_part36.wav,36,180,3:00,0.2624,ANOMALIE
ml19_292b_0026_part121.wav,121,605,10:05,0.2618,ANOMALIE
ml17_280a_0144_part100.wav,100,500,8:20,0.2615,ANOMALIE
ml17_280a_0144_part37.wav,37,185,3:05,0.2612,ANOMALIE
ml19_293a_0066_part70.wav,70,350,5:50,0.2604,ANOMALIE
ml19_292a_0030_part37.wav,37,185,3:05,0.2604,ANOMALIE
ml19_292b_0026_part131.wav,131,655,10:55,0.2601,ANOMALIE
ml17_280a_0144_part69.wav,69,345,5:45,0.2596,ANOMALIE
ml17_280a_0144_part1.wav,1,5,0:05,0.2593,ANOMALIE
ml18_294b_0013_part51.wav,51,255,4:15,0.2565,ANOMALIE
ml19_292b_0026_part117.wav,117,585,9:45,0.2549,ANOMALIE
ml17_280a_0144_part134.wav,134,670,11:10,0.2546,ANOMALIE
ml19_292b_0026_part63.wav,63,315,5:15,0.2546,ANOMALIE
ml19_292b_0026_part112.wav,112,560,9:20,0.2539,ANOMALIE
ml17_280a_0144_part101.wav,101,505,8:25,0.2533,ANOMALIE
ml19_293a_0066_part0.wav,0,0,0:00,0.2528,ANOMALIE
ml17_280a_0083_part38.wav,38,190,3:10,0.2519,ANOMALIE
ml19_292b_0026_part100.wav,100,500,8:20,0.2504,ANOMALIE
ml19_292b_0026_part108.wav,108,540,9:00,0.2499,RAS
ml17_280a_0144_part115.wav,115,575,9:35,0.2488,RAS
ml17_280a_0144_part35.wav,35,175,2:55,0.2486,RAS
ml19_292b_0026_part55.wav,55,275,4:35,0.2483,RAS
ml19_293a_0066_part81.wav,81,405,6:45,0.2478,RAS
ml17_280a_0144_part130.wav,130,650,10:50,0.2467,RAS
ml17_280a_0144_part67.wav,67,335,5:35,0.2462,RAS
ml18_294b_0013_part76.wav,76,380,6:20,0.2454,RAS
ml19_292b_0026_part123.wav,123,615,10:15,0.2437,RAS
ml19_294a_0011_part42.wav,42,210,3:30,0.2435,RAS
ml17_280a_0144_part161.wav,161,805,13:25,0.2432,RAS
ml17_280a_0144_part53.wav,53,265,4:25,0.2424,RAS
ml18_294b_0013_part78.wav,78,390,6:30,0.2418,RAS
ml18_294b_0013_part1.wav,1,5,0:05,0.2386,RAS
ml19_293a_0015_part134.wav,134,670,11:10,0.2371,RAS
ml17_280a_0083_part73.wav,73,365,6:05,0.2364,RAS
ml17_280a_0144_part124.wav,124,620,10:20,0.2356,RAS
ml18_294b_0013_part73.wav,73,365,6:05,0.2351,RAS
ml19_293a_0015_part31.wav,31,155,2:35,0.2347,RAS
ml18_294b_0013_part40.wav,40,200,3:20,0.2346,RAS
ml18_294b_0013_part91.wav,91,455,7:35,0.234,RAS
ml17_280a_0088_part83.wav,83,415,6:55,0.2336,RAS
ml17_280a_0144_part153.wav,153,765,12:45,0.233,RAS
ml19_292b_0026_part42.wav,42,210,3:30,0.2329,RAS
ml19_292b_0026_part137.wav,137,685,11:25,0.2326,RAS
ml19_294a_0011_part37.wav,37,185,3:05,0.2322,RAS
ml17_280a_0144_part88.wav,88,440,7:20,0.2321,RAS
ml19_293a_0066_part35.wav,35,175,2:55,0.2318,RAS
ml19_292b_0026_part65.wav,65,325,5:25,0.2315,RAS
ml17_280a_0144_part137.wav,137,685,11:25,0.2307,RAS
ml19_292b_0026_part107.wav,107,535,8:55,0.2306,RAS
ml19_292a_0007_part21.wav,21,105,1:45,0.2305,RAS
ml17_280a_0144_part98.wav,98,490,8:10,0.2303,RAS
ml19_292b_0026_part133.wav,133,665,11:05,0.23,RAS
ml19_292b_0026_part142.wav,142,710,11:50,0.2295,RAS
ml19_292a_0030_part63.wav,63,315,5:15,0.2292,RAS
ml17_280a_0083_part57.wav,57,285,4:45,0.229,RAS
ml17_280a_0144_part44.wav,44,220,3:40,0.2288,RAS
ml18_294b_0013_part5.wav,5,25,0:25,0.2284,RAS
ml19_292a_0030_part72.wav,72,360,6:00,0.2278,RAS
ml19_292b_0026_part134.wav,134,670,11:10,0.2277,RAS
ml18_294b_0076_part1.wav,1,5,0:05,0.2275,RAS
ml17_280a_0144_part32.wav,32,160,2:40,0.2271,RAS
ml19_292b_0026_part30.wav,30,150,2:30,0.2267,RAS
ml19_293a_0066_part47.wav,47,235,3:55,0.2266,RAS
ml19_294a_0011_part30.wav,30,150,2:30,0.2252,RAS
ml19_294a_0011_part43.wav,43,215,3:35,0.2245,RAS
ml19_292b_0026_part128.wav,128,640,10:40,0.2231,RAS
ml17_280a_0088_part72.wav,72,360,6:00,0.2225,RAS
ml18_294b_0013_part28.wav,28,140,2:20,0.2217,RAS
ml17_280a_0144_part119.wav,119,595,9:55,0.2214,RAS
ml18_294b_0013_part85.wav,85,425,7:05,0.2213,RAS
ml19_292b_0026_part144.wav,144,720,12:00,0.2205,RAS
ml17_280a_0088_part151.wav,151,755,12:35,0.22,RAS
ml18_294b_0042_part4.wav,4,20,0:20,0.2189,RAS
ml19_293a_0015_part138.wav,138,690,11:30,0.2188,RAS
ml18_296a_0007_part2.wav,2,10,0:10,0.2187,RAS
ml17_280a_0144_part77.wav,77,385,6:25,0.2186,RAS
ml18_294b_0076_part20.wav,20,100,1:40,0.2185,RAS
ml19_293a_0066_part16.wav,16,80,1:20,0.2183,RAS
ml18_294b_0013_part44.wav,44,220,3:40,0.2181,RAS
ml19_294a_0011_part48.wav,48,240,4:00,0.2179,RAS
ml19_292b_0026_part79.wav,79,395,6:35,0.2177,RAS
ml17_280a_0144_part148.wav,148,740,12:20,0.2172,RAS
ml17_280a_0083_part64.wav,64,320,5:20,0.2163,RAS
